סניף,יעד עד סוף החודש,יעד מכירות עד היום חודשי,ביצוע מכירות חודשי כולל מעמ,מרחק מיעד מכירות חודשי,אחוז עמידה ביעד מכירות חודשי,אחוז עמידה ביעד מכירות עד היום,יעד שעות תקן עד היום חודשי,ביצוע שעות תקן חודש נוכחי,אחוז עמידה ביעד חודשי שעות תקן,פריון,יעד פריון,אחוז עמידה ביעד פריון
AKOH שבעת הכוכבים אילת,"220,000","219,990","101,051","-118,949",45.93%,0.459342834,400,384.6,96.15%,263,550,47.77%
G כפר סבא,"420,000","420,000","425,238","5,238",101.25%,1.012470524,650,917.7833333,141.20%,463,646,71.71%
SCORC גלילות,"300,000","300,000","272,273","-27,727",90.76%,0.907577567,500,508.1833333,101.64%,536,600,89.30%
SCORC דיזנגוף סנטר,"200,000","173,342","168,032","-31,968",84.02%,0.969366916,500,406.1333333,81.23%,414,347,119.34%
SCORC שבעת הכוכבים אילת,"90,000","90,000","82,727","-7,273",91.92%,0.919188,300,330.3,110.10%,250,300,83.49%
SEOHSEW גלילות,"430,000","429,990","528,253","98,253",122.85%,1.228524082,800,1132.583333,141.57%,466,537,86.78%
SEOHSEW מבשרת ציון,"130,000","129,990","143,377","13,377",110.29%,1.102983229,350,336.7666667,96.22%,426,371,114.63%
SGABEW ביג ירכא,"50,000","50,010","63,461","13,461",126.92%,1.268974005,390,365.15,93.63%,174,128,135.53%
SGABEW דוכן פארק הקרח אילת לא פע,,,,,,,,12,,,,
sgabeW חוצות,"140,000","140,010","150,923","10,923",107.80%,1.077941004,350,336.1166667,96.03%,449,400,112.25%
SGABEW עפולה,"60,000","60,000","36,042","-23,958",60.07%,0.600692,310,327.6833333,105.70%,110,194,56.83%
SGABEW שבעת הכוכבים אילת,"90,000","90,000","38,953","-51,047",43.28%,0.432805778,300,281.3,93.77%,138,300,46.16%
VLT,"130,000","112,658","126,141","-3,859",97.03%,1.119681514,450,394.9833333,87.77%,319,250,127.56%
אאוטלט הרצליה,"240,000","240,000","154,656","-85,344",64.44%,0.64439975,500,348.9333333,69.79%,443,480,92.34%
אור יהודה - עודפים,"110,000","126,930","95,195","-14,805",86.54%,0.749983062,400,345.3,86.33%,276,317,86.88%
איילון,"370,000","369,990","313,939","-56,061",84.85%,0.848506176,650,511.1333333,78.64%,614,569,107.90%
איכילוב מרכז ויצמן תל אביב,"280,000","279,994","242,665","-37,335",86.67%,0.866679072,550,567.5833333,103.20%,428,509,83.98%
אירפורט סיטי,"120,000","120,000","108,918","-11,082",90.76%,0.907646833,350,336.9166667,96.26%,323,343,94.29%
אמות באר שבע,"450,000","450,000","443,228","-6,772",98.50%,0.9849512,800,765.6666667,95.71%,579,563,102.91%
אסף הרופא,"50,000","49,998","20,259","-29,741",40.52%,0.405203208,280,170.1166667,60.76%,119,179,66.69%
אשדוד - סטאר סנטר,"140,000","140,010","133,670","-6,330",95.48%,0.954718163,550,439.6333333,79.93%,304,255,119.44%
אשקלון סילבר,"330,000","330,000","328,827","-1,173",99.64%,0.996444848,650,608.15,93.56%,541,508,106.50%
באקה אלג'רביה כאסח,"330,000","330,000","312,283","-17,717",94.63%,0.946310879,650,762.1333333,117.25%,410,508,80.71%
באר יעקב,,,"121,571","121,571",,,,424.5666667,,286,,
בארות יצחק - כאסח,"280,000","279,990","317,683","37,683",113.46%,1.134621736,650,623.45,95.92%,510,431,118.29%
בוטיק אילת,"160,000","159,990","119,092","-40,908",74.43%,0.744373398,250,341.1833333,136.47%,349,640,54.54%
ביאליק 3,"120,000","119,990","120,561",561,100.47%,1.004761813,250,299.65,119.86%,402,480,83.83%
ביאליק רמת גן,"130,000","129,990","124,910","-5,090",96.08%,0.960923225,400,333.85,83.46%,374,325,115.13%
ביג אילת,"820,000","819,990","986,803","166,803",120.34%,1.203432591,"1,400",1555.733333,111.12%,634,586,108.30%
ביג אשדוד,"480,000","480,000","508,204","28,204",105.88%,1.058757979,750,720.1833333,96.02%,706,640,110.26%
ביג החורש,"150,000","150,000","116,053","-33,947",77.37%,0.773689267,450,446.8833333,99.31%,260,333,77.91%
ביג טבריה,"270,000","270,000","297,723","27,723",110.27%,1.102677296,600,592.2,98.70%,503,450,111.72%
ביג יקנעם,"150,000","150,000","111,015","-38,985",74.01%,0.740099267,400,424.1833333,106.05%,262,375,69.79%
ביג ירכא אאוטלט,"490,000","489,990","483,806","-6,194",98.74%,0.987379906,800,804.9166667,100.61%,601,612,98.13%
ביג רגבה כאסח,,,0,0,,,,,,,,
בית חנינה,"180,000","180,000","159,785","-20,215",88.77%,0.887694444,300,326.7333333,108.91%,489,600,81.51%
בית שמש,"200,000","200,010","210,164","10,164",105.08%,1.050767312,500,611.95,122.39%,343,400,85.85%
גבעתיים,"170,000","200,010","168,123","-1,877",98.90%,0.840572321,500,489.4333333,97.89%,344,400,85.87%
"גרנד ב""ש","270,000","270,000","268,437","-1,563",99.42%,0.994211185,570,483.9,84.89%,555,474,117.11%
גרנד קניון חיפה,"380,000","380,010","420,478","40,478",110.65%,1.106491645,750,828.25,110.43%,508,507,100.20%
דודג' סנטר,"170,000","170,010","174,042","4,042",102.38%,1.023714193,450,429.15,95.37%,406,378,107.35%
דיזנגוף סנטר,"350,000","350,010","277,146","-72,854",79.18%,0.791823776,600,497.8666667,82.98%,557,583,95.43%
דימונה,"120,000","120,000","91,892","-28,108",76.58%,0.765768583,520,431.3,82.94%,213,231,92.33%
דליית אל כרמל,"160,000","159,990","139,905","-20,095",87.44%,0.874463029,320,293.7333333,91.79%,476,500,95.27%
הדסה,"150,000","150,000","138,977","-11,023",92.65%,0.926513933,400,314.4333333,78.61%,442,375,117.86%
הדר ירושלים,"300,000","300,000","321,118","21,118",107.04%,1.0703945,600,675,112.50%,476,500,95.15%
הזהב,"270,000","270,000","216,747","-53,253",80.28%,0.802765556,600,429.85,71.64%,504,450,112.05%
המלביש אילת,,,"19,173","19,173",,,,188.45,,102,,
המלביש חולון,,,"75,621","75,621",,,,280,,270,,
הקניון הגדול פתח תקווה,"350,000","350,010","365,509","15,509",104.43%,1.044282735,600,560.85,93.48%,652,583,111.72%
הרודס אילת,"250,000","249,990","262,897","12,897",105.16%,1.051629305,720,643.6333333,89.39%,408,347,117.64%
הרצל נתניה,"200,000","200,010","226,109","26,109",113.05%,1.130488326,350,297.3333333,84.95%,760,571,133.07%
וילג' חדרה,"180,000","180,000","181,321","1,321",100.73%,1.007337389,450,475.9666667,105.77%,381,400,95.24%
זכרון,"300,000","300,000","292,148","-7,852",97.38%,0.973826633,550,601.9833333,109.45%,485,545,88.97%
חולון אאוטלט,"270,000","270,000","244,567","-25,433",90.58%,0.905803222,600,538.4166667,89.74%,454,450,100.94%
חונים קונים כאסח,"250,000","216,658","213,038","-36,962",85.22%,0.983293809,600,609.8666667,101.64%,349,361,96.74%
חוצות המפרץ,"490,000","489,990","518,029","28,029",105.72%,1.057222862,750,999.6,133.28%,518,653,79.32%
טייבה,"170,000","170,010","130,277","-39,723",76.63%,0.766288865,400,366.0833333,91.52%,356,425,83.73%
טמרה,"170,000","170,010","182,033","12,033",107.08%,1.070719311,350,388.3333333,110.95%,469,486,96.50%
ים המלח,"200,000","200,010","182,304","-17,696",91.15%,0.911474276,550,344.6,62.65%,529,364,145.48%
יס פלאנט באר שבע,"110,000","110,010","59,481","-50,519",54.07%,0.540684756,450,292.95,65.10%,203,244,83.05%
ישפרו סנטר מודיעין,"420,000","420,000","397,936","-22,064",94.75%,0.947467524,550,523.5666667,95.19%,760,764,99.53%
כפר סבא הירוקה,"180,000","180,000","158,330","-21,670",87.96%,0.879612778,500,468.0666667,93.61%,338,360,93.96%
כרכור,"520,000","519,990","510,706","-9,294",98.21%,0.982146676,850,766.05,90.12%,667,612,108.98%
כרמי גת,"150,000","150,000","169,018","19,018",112.68%,1.1267866,570,487.1166667,85.46%,347,263,131.85%
כרמיאל,"500,000","500,010","582,604","82,604",116.52%,1.165185356,650,600.8166667,92.43%,970,769,126.06%
מגדל,"120,000","120,000","102,647","-17,353",85.54%,0.855391583,200,,,,600,
מודיעין עזריאלי,"340,000","339,990","267,318","-72,682",78.62%,0.786253949,600,747.9333333,124.66%,357,567,63.07%
מול הים,"550,000","549,990","555,401","5,401",100.98%,1.009839052,900,999.9833333,111.11%,555,611,90.89%
מיגייט גאולה,"150,000","150,000","156,425","6,425",104.28%,1.042835933,400,295.9166667,73.98%,529,375,140.96%
מיי בייבי,"230,000","230,010","167,570","-62,430",72.86%,0.728534759,300,129.1666667,43.06%,"1,297",767,169.21%
מלחה - ירושלים,"380,000","380,010","375,058","-4,942",98.70%,0.986969764,550,478.2833333,86.96%,784,691,113.50%
מלכת שבא,"850,000","849,990","907,568","57,568",106.77%,1.067739562,"1,400",1336.133333,95.44%,679,607,111.88%
ממילא,"350,000","350,010","407,681","57,681",116.48%,1.164769007,650,741.8666667,114.13%,550,538,102.05%
מעלה אדומים,"200,000","200,010","158,432","-41,568",79.22%,0.792121394,450,370.7833333,82.40%,427,444,96.14%
מרום נווה,"170,000","170,010","150,766","-19,234",88.69%,0.8868066,430,332.65,77.36%,453,395,114.63%
נהריה,"230,000","230,010","235,050","5,050",102.20%,1.021913525,400,356.0333333,89.01%,660,575,114.81%
נוף הגליל,"400,000","399,990","313,580","-86,420",78.40%,0.783970724,750,640.5,85.40%,490,533,91.80%
"נמל ת""א","160,000","159,990","127,794","-32,206",79.87%,0.798760798,400,383.7833333,95.95%,333,400,83.25%
נעלי איה,,,"26,099","26,099",,,,,,,,
נצרת,"570,000","570,000","452,944","-117,056",79.46%,0.794638702,650,472.0333333,72.62%,960,877,109.42%
סבן רהט,"240,000","240,000","206,381","-33,619",85.99%,0.85991875,400,320.1,80.03%,645,600,107.46%
סחנין,"170,000","170,010","112,221","-57,779",66.01%,0.66008323,350,347.9333333,99.41%,323,486,66.40%
סי מול אשדוד,"150,000","150,000","77,547","-72,453",51.70%,0.516979,450,351.3333333,78.07%,221,333,66.22%
סינמה סיטי ראשון לציון,"240,000","240,000","157,698","-82,302",65.71%,0.657075542,500,467,93.40%,338,480,70.35%
עד הלום כאסח,"220,000","219,990","203,436","-16,564",92.47%,0.924749489,650,622.55,95.78%,327,338,96.55%
עזריאלי חיפה,"180,000","180,000","193,286","13,286",107.38%,1.073808556,450,446.85,99.30%,433,400,108.14%
עיר ימים,"270,000","270,000","277,394","7,394",102.74%,1.027384,550,626.5333333,113.92%,443,491,90.19%
עפולה,"380,000","380,010","303,038","-76,962",79.75%,0.797448225,650,582.85,89.67%,520,585,88.93%
ערד,"160,000","159,990","142,407","-17,593",89.00%,0.890102256,550,545.0833333,99.11%,261,291,89.81%
פארק הקרח,"670,000","669,990","685,691","15,691",102.34%,1.023435141,900,922.2,102.47%,744,744,99.88%
פולג)גנדן( - נתניה,"200,000","200,010","235,849","35,849",117.92%,1.179183741,400,308.2166667,77.05%,765,500,153.03%
פסגת זאב כאסח,,,"165,450","165,450",,,,922.0166667,,179,,
פרינדלי סביונים,"130,000","129,990","93,704","-36,296",72.08%,0.720857143,350,336.35,96.10%,279,371,75.01%
צים מעלות,"150,000","150,000","175,547","25,547",117.03%,1.170310333,450,405.2666667,90.06%,433,333,129.95%
צמח,"230,000","230,010","186,919","-43,081",81.27%,0.812658102,500,421.6666667,84.33%,443,460,96.36%
קדימה,"170,000","170,010","171,059","1,059",100.62%,1.006171519,420,437.3,104.12%,391,405,96.64%
קניון בת ים,"270,000","270,000","222,222","-47,778",82.30%,0.823045148,500,327.7833333,65.56%,678,540,125.55%
קניון לב חדרה,"120,000","120,000","120,618",618,100.52%,1.00515125,400,315.5166667,78.88%,382,300,127.43%
"קרוקס ביל""ו","450,000","450,000","432,225","-17,775",96.05%,0.960499378,800,742.4666667,92.81%,582,563,103.49%
קרוקס בני ברק,"380,000","379,990","320,154","-59,846",84.25%,0.842532646,400,199.3833333,49.85%,"1,606",950,169.03%
קרוקס חוצות המפרץ,"440,000","440,010","355,306","-84,694",80.75%,0.807495648,650,614.1333333,94.48%,579,677,85.47%
קריון,"280,000","279,990","266,811","-13,189",95.29%,0.952931462,550,407.9166667,74.17%,654,509,128.49%
קרית אונו,"370,000","369,990","346,704","-23,296",93.70%,0.937063272,650,671.0666667,103.24%,517,569,90.76%
קרית גת סלומון כאסח,"170,000","170,010","120,310","-49,690",70.77%,0.707663784,650,569.4166667,87.60%,211,262,80.78%
ראש פינה,"120,000","120,000","105,522","-14,478",87.94%,0.8793505,320,314.3833333,98.24%,336,375,89.51%
ראשונים,"180,000","180,000","179,163",-837,99.54%,0.995350167,480,436.7,90.98%,410,375,109.40%
רחובות,"300,000","300,000","306,504","6,504",102.17%,1.021679433,570,542.2,95.12%,565,526,107.41%
רננים,"290,000","290,010","310,369","20,369",107.02%,1.070201752,600,534.0833333,89.01%,581,483,120.23%
שבעת הכוכבים,"380,000","380,010","309,052","-70,948",81.33%,0.81327323,650,464.8,71.51%,665,585,113.73%
שדרות,"260,000","260,010","235,519","-24,481",90.58%,0.905807392,600,422.05,70.34%,558,433,128.77%
שער בנימין,"80,000","80,002","90,966","10,966",113.71%,1.137040324,300,308.3,102.77%,295,267,110.64%
שער הצפון,"180,000","180,000","221,123","41,123",122.85%,1.228460333,420,368.8166667,87.81%,600,429,139.89%
שפיים,"250,000","249,990","173,316","-76,684",69.33%,0.693290732,500,470.8333333,94.17%,368,500,73.62%
שרונים,"140,000","140,010","126,807","-13,193",90.58%,0.905696522,350,289.9833333,82.85%,437,400,109.31%
ת. מרכזית י-ם עודפים,"180,000","180,000","197,151","17,151",109.53%,1.095281611,500,396.9,79.38%,497,360,137.98%
