סניף,יעד עד סוף החודש,יעד מכירות עד היום חודשי,ביצוע מכירות חודשי כולל מעמ,מרחק מיעד מכירות חודשי,אחוז עמידה ביעד מכירות חודשי,אחוז עמידה ביעד מכירות עד היום,יעד שעות תקן עד היום חודשי,ביצוע שעות תקן חודש נוכחי,אחוז עמידה ביעד חודשי שעות תקן,פריון,יעד פריון,אחוז עמידה ביעד פריון
AKOH שבעת הכוכבים אילת,"140,000","140,000","164,019","24,019",117.16%,1.171563071,400,367.6166667,91.90%,446,350,127.48%
G כפר סבא,"290,000","289,996","248,936","-41,064",85.84%,0.858412461,650,692.05,106.47%,360,446,80.63%
SCORC גלילות,,,"14,669","14,669",,,,43.31666667,,339,,
SCORC דיזנגוף סנטר,"120,000","102,864","86,338","-33,662",71.95%,0.839336989,450,372.85,82.86%,232,229,101.30%
SCORC שבעת הכוכבים אילת,"50,000","50,008","38,959","-11,041",77.92%,0.77906315,300,306.3166667,102.11%,127,167,76.30%
SEOHSEW גלילות,,,"31,044","31,044",,,,541.4,,57,,
SEOHSEW מבשרת ציון,"120,000","120,008","118,874","-1,126",99.06%,0.99054688,350,315.55,90.16%,377,343,109.87%
SGABEW ביג ירכא,"50,000","50,008","44,984","-5,016",89.97%,0.899535074,250,350.4,140.16%,128,200,64.18%
sgabeW חוצות,"120,000","120,008","139,514","19,514",116.26%,1.162538664,400,309.0333333,77.26%,451,300,150.47%
SGABEW עפולה,"60,000","60,004","25,117","-34,883",41.86%,0.418590427,300,312.3833333,104.13%,80,200,40.20%
SGABEW שבעת הכוכבים אילת,"60,000","60,004","35,780","-24,220",59.63%,0.596285581,300,287.1333333,95.71%,125,200,62.30%
VLT,"150,000","128,568","91,858","-58,142",61.24%,0.71447203,450,421.7,93.71%,218,286,76.24%
אאוטלט הרצליה,"190,000","190,008","128,532","-61,468",67.65%,0.676457307,450,352.2666667,78.28%,365,422,86.41%
אור יהודה - עודפים,"90,000","105,000","65,233","-24,767",72.48%,0.621270095,430,325.3333333,75.66%,201,244,82.11%
איילון,"270,000","270,004","227,259","-42,741",84.17%,0.841688345,550,519.0833333,94.38%,438,491,89.18%
איכילוב מרכז ויצמן תל אביב,"200,000","199,992","223,773","23,773",111.89%,1.118910956,500,570.4666667,114.09%,392,400,98.07%
אירפורט סיטי,"110,000","108,388","82,186","-27,814",74.71%,0.758256634,350,312.8166667,89.38%,263,310,84.84%
אמות באר שבע,"360,000","359,996","346,359","-13,641",96.21%,0.962118524,700,665.7833333,95.11%,520,514,101.16%
