סניף,יעד עד סוף החודש,יעד מכירות עד היום חודשי,ביצוע מכירות חודשי כולל מעמ,מרחק מיעד מכירות חודשי,אחוז עמידה ביעד מכירות חודשי,אחוז עמידה ביעד מכירות עד היום,יעד שעות תקן עד היום חודשי,ביצוע שעות תקן חודש נוכחי,אחוז עמידה ביעד חודשי שעות תקן,פריון,יעד פריון,אחוז עמידה ביעד פריון
AKOH שבעת הכוכבים אילת,"130,000","130,014","176,160","46,160",135.51%,1.354930777,500,429.3833333,85.88%,410,260,157.78%
G כפר סבא,"340,000","340,008","299,183","-40,817",87.99%,0.879928913,700,578.8833333,82.70%,517,486,106.40%
SCORC דיזנגוף סנטר,"140,000","121,932","89,221","-50,779",63.73%,0.731724896,500,402.1833333,80.44%,222,244,90.97%
SCORC שבעת הכוכבים אילת,"70,000","69,998","35,374","-34,626",50.53%,0.505351153,400,352.95,88.24%,100,175,57.27%
SEOHSEW מבשרת ציון,"140,000","139,996","102,290","-37,710",73.06%,0.730666162,400,335.0833333,83.77%,305,350,87.22%
SGABEW ביג ירכא,"60,000","59,985","52,221","-7,779",87.04%,0.870575144,380,386.0666667,101.60%,135,158,85.69%
sgabeW חוצות,"120,000","120,001","134,310","14,310",111.93%,1.119241256,400,373.0666667,93.27%,360,300,120.00%
SGABEW עפולה,"70,000","69,998","31,811","-38,189",45.44%,0.454455413,310,350.5333333,113.08%,91,226,40.19%
SGABEW שבעת הכוכבים אילת,"70,000","69,998","45,837","-24,163",65.48%,0.654830995,400,337.6666667,84.42%,136,175,77.57%
VLT,,,"109,178","109,178",,,,433.1333333,,252,,
אאוטלט הרצליה,"180,000","179,986","159,439","-20,561",88.58%,0.885839565,450,397.3166667,88.29%,401,400,100.33%
אור יהודה - עודפים,"110,000","131,161","88,604","-21,396",80.55%,0.675537545,400,407.7,101.93%,217,328,66.28%
איילון,"350,000","349,990","227,407","-122,593",64.97%,0.649752079,700,626.75,89.54%,363,500,72.57%
איכילוב מרכז ויצמן תל אביב,"250,000","259,605","210,391","-39,609",84.16%,0.810428305,520,653.8666667,125.74%,322,499,64.45%
אירפורט סיטי,"120,000","120,001","82,388","-37,612",68.66%,0.686558945,400,412.6166667,103.15%,200,300,66.56%
אמות באר שבע,"420,000","419,988","371,143","-48,857",88.37%,0.883699725,700,767.8166667,109.69%,483,600,80.56%
אסף הרופא,"50,000","43,551","23,240","-26,760",46.48%,0.53361645,250,208.9833333,83.59%,111,174,63.83%
אשדוד - סטאר סנטר,"120,000","120,001","69,867","-50,133",58.22%,0.582223565,500,477.95,95.59%,146,240,60.91%
אשקלון סילבר,"270,000","270,010","220,501","-49,499",81.67%,0.816639865,600,578.25,96.38%,381,450,84.74%
באקה אלג'רביה כאסח,"250,000","250,015","180,433","-69,567",72.17%,0.721687459,700,782.3166667,111.76%,231,357,64.58%
בארות יצחק - כאסח,"250,000","250,015","292,579","42,579",117.03%,1.170244665,700,593.1,84.73%,493,357,138.12%
בוטיק אילת,"90,000","89,993","132,981","42,981",147.76%,1.477682375,300,349.1,116.37%,381,300,126.99%
ביאליק 3,"100,000","87,102","89,629","-10,371",89.63%,1.029006911,320,259.1333333,80.98%,346,272,127.07%
ביאליק רמת גן,"120,000","120,001","85,633","-34,367",71.36%,0.71360197,400,348.3,87.08%,246,300,81.95%
ביג אילת,"680,000","679,985","771,406","91,406",113.44%,1.134446319,"1,300",1572.966667,121.00%,490,523,93.76%
ביג אשדוד,"400,000","399,993","336,231","-63,769",84.06%,0.840591085,700,690.9833333,98.71%,487,571,85.16%
ביג טבריה,"220,000","220,007","199,572","-20,428",90.71%,0.907115728,550,528.75,96.14%,377,400,94.36%
ביג יקנעם,"140,000","139,996","89,054","-50,946",63.61%,0.636116746,400,374.6666667,93.67%,238,350,67.91%
ביג ירכא אאוטלט,"420,000","419,988","352,688","-67,312",83.97%,0.839756564,750,749.8,99.97%,470,560,84.00%
בית חנינה,"180,000","179,986","157,298","-22,702",87.39%,0.87394464,400,349.3,87.33%,450,450,100.08%
בית שמש,"180,000","179,986","152,589","-27,411",84.77%,0.847783105,520,514.7333333,98.99%,296,346,85.65%
גבעתיים,"180,000","179,986","115,869","-64,131",64.37%,0.643765737,500,404.7833333,80.96%,286,360,79.52%
"גרנד ב""ש","210,000","209,994","170,820","-39,180",81.34%,0.813450956,570,456.1833333,80.03%,374,368,101.64%
גרנד קניון חיפה,"320,000","320,013","305,189","-14,811",95.37%,0.953678101,700,806.5166667,115.22%,378,457,82.77%
דודג' סנטר,"160,000","159,991","125,673","-34,327",78.55%,0.78550256,500,461.1166667,92.22%,273,320,85.17%
דיזנגוף סנטר,"290,000","290,005","232,547","-57,453",80.19%,0.801872037,650,515.6,79.32%,451,446,101.09%
דימונה,"100,000","100,006","83,141","-16,859",83.14%,0.831364118,450,400.9,89.09%,207,222,93.32%
דליית אל כרמל,"120,000","120,001","102,619","-17,381",85.52%,0.85515304,250,315.2666667,126.11%,325,480,67.81%
הדסה,"170,000","170,004","157,358","-12,642",92.56%,0.925614338,450,421.9333333,93.76%,373,378,98.72%
