סניף,יעד עד סוף החודש,יעד מכירות עד היום חודשי,ביצוע מכירות חודשי כולל מעמ,מרחק מיעד מכירות חודשי,אחוז עמידה ביעד מכירות חודשי,אחוז עמידה ביעד מכירות עד היום,יעד שעות תקן עד היום חודשי,ביצוע שעות תקן חודש נוכחי,אחוז עמידה ביעד חודשי שעות תקן,פריון,יעד פריון,אחוז עמידה ביעד פריון
AKOH שבעת הכוכבים אילת,"140,000","135,480","107,043","-32,957",76.46%,0.790101491,385,360.5833333,93.61%,297,352,84.40%
G כפר סבא,"420,000","406,440","498,555","78,555",118.70%,1.226639725,770,938.2,121.79%,531,528,100.72%
SCORC גלילות,"250,000","241,950","262,059","12,059",104.82%,1.083110271,530,476.0333333,89.88%,551,457,120.51%
SCORC דיזנגוף סנטר,"230,000","192,894","195,025","-34,975",84.79%,1.011048037,530,395.15,74.61%,494,364,135.51%
SCORC שבעת הכוכבים אילת,"90,000","87,090","84,329","-5,671",93.70%,0.968294408,289,312.75,108.26%,270,301,89.44%
SEOHSEW גלילות,"450,000","435,480","544,000","94,000",120.89%,1.249195715,915,1123.233333,122.78%,484,476,101.74%
SEOHSEW מבשרת ציון,"160,000","154,830","171,048","11,048",106.91%,1.104749984,433,380.25,87.75%,450,357,125.90%
SGABEW ביג ירכא,"60,000","58,050","62,459","2,459",104.10%,1.075947976,385,366.4,95.12%,170,151,113.11%
sgabeW חוצות,"150,000","145,170","156,319","6,319",104.21%,1.076796859,433,339.9,78.44%,460,335,137.28%
SGABEW עפולה,"50,000","48,390","33,514","-16,486",67.03%,0.692580905,318,339.55,106.85%,99,152,64.82%
SGABEW שבעת הכוכבים אילת,"65,000","62,910","36,156","-28,844",55.62%,0.574726911,289,299.4666667,103.66%,121,218,55.44%
VLT,"140,000","117,416","142,366","2,366",101.69%,1.212491228,433,481.1833333,111.04%,296,271,109.19%
אאוטלט הרצליה,"210,000","203,220","195,166","-14,834",92.94%,0.960370042,481,412.6166667,85.70%,473,422,112.07%
אור יהודה - עודפים,"120,000","133,320","107,785","-12,215",89.82%,0.808465272,433,390.05,90.01%,276,308,89.82%
איילון,"350,000","338,700","330,261","-19,739",94.36%,0.975084559,674,647.7833333,96.10%,510,502,101.47%
איכילוב מרכז ויצמן תל אביב,"300,000","288,886","318,313","18,313",106.10%,1.10186423,578,591.75,102.42%,538,500,107.58%
אירפורט סיטי,"110,000","106,440","91,498","-18,502",83.18%,0.859625047,414,431.2,104.14%,212,257,82.55%
אמות באר שבע,"450,000","435,480","453,291","3,291",100.73%,1.040900248,819,812.0666667,99.21%,558,532,104.92%
אשדוד - סטאר סנטר,"130,000","125,820","131,743","1,743",101.34%,1.047072008,481,497.6,103.35%,265,261,101.32%
אשקלון סילבר,"280,000","270,960","318,882","38,882",113.89%,1.17685902,626,647.3,103.41%,493,433,113.80%
באקה אלג'רביה כאסח,"270,000","261,300","330,998","60,998",122.59%,1.266735974,674,745.0333333,110.53%,444,388,114.61%
באר יעקב,"120,000","116,130","85,233","-34,767",71.03%,0.733946698,433,417.6833333,96.39%,204,268,76.14%
בארות יצחק - כאסח,"270,000","261,300","317,879","47,879",117.73%,1.216527937,674,886.4833333,131.51%,359,388,92.50%
בוטיק אילת,"150,000","145,170","139,199","-10,801",92.80%,0.958865468,337,256.2333333,76.03%,543,431,126.12%
ביאליק 3,"110,000","105,924","99,187","-10,813",90.17%,0.936397134,289,239.3666667,82.86%,414,367,113.01%
ביאליק רמת גן,"140,000","135,480","162,530","22,530",116.09%,1.199662312,404,371.7833333,91.92%,437,335,130.51%
ביג אילת,"840,000","812,910","913,279","73,279",108.72%,1.123468416,"1,444",1516.983333,105.02%,602,563,106.97%
ביג אשדוד,"450,000","435,480","496,582","46,582",110.35%,1.140308625,722,783.3833333,108.47%,634,603,105.13%
ביג החורש,"120,000","116,130","103,366","-16,634",86.14%,0.890084733,385,350.55,91.01%,295,301,97.80%
ביג טבריה,"250,000","241,950","314,014","64,014",125.61%,1.297846828,530,649.05,122.55%,484,457,105.91%
ביג יקנעם,"140,000","135,480","133,709","-6,291",95.51%,0.986926041,404,338.55,83.71%,395,335,117.90%
ביג ירכא אאוטלט,"380,000","367,740","526,107","146,107",138.45%,1.430650296,722,806.2333333,111.63%,653,509,128.16%
ביג רגבה כאסח,"300,000","251,602","372,216","72,216",124.07%,1.479384464,722,844.8333333,116.98%,441,348,126.47%
בית חנינה,"170,000","164,520","230,544","60,544",135.61%,1.401315402,327,350.1166667,106.94%,658,502,131.04%
בית שמש,"200,000","193,560","200,930",929,100.46%,1.038073466,530,677.8166667,127.98%,296,365,81.11%
גבעתיים,"180,000","174,180","190,206","10,206",105.67%,1.092010219,481,397.4666667,82.55%,479,362,132.28%
גן יבנה,,,"42,036","42,036",,,,188.0333333,,224,,
"גרנד ב""ש","250,000","241,950","324,840","74,840",129.94%,1.342592188,549,631.8333333,115.11%,514,441,116.63%
גרנד קניון חיפה,"400,000","387,090","502,985","102,985",125.75%,1.299399855,722,761.7333333,105.47%,660,536,123.20%
דודג' סנטר,"160,000","154,830","207,881","47,881",129.93%,1.342637473,481,406.7333333,84.48%,511,322,158.94%
דיזנגוף סנטר,"320,000","309,690","328,411","8,411",102.63%,1.060451613,597,468.8666667,78.53%,700,519,135.03%
דימונה,"110,000","106,440","111,450","1,450",101.32%,1.047072153,453,396.7833333,87.67%,281,235,119.43%
דליית אל כרמל,"140,000","135,480","142,182","2,182",101.56%,1.049471435,308,332.35,107.85%,428,440,97.30%
הדסה,"170,000","164,520","192,265","22,265",113.10%,1.168642536,433,343.8,79.34%,559,380,147.30%
הדר ירושלים,"320,000","309,690","339,792","19,792",106.19%,1.097200491,626,599.25,95.74%,567,495,114.60%
הזהב,"240,000","232,260","259,457","19,457",108.11%,1.117096228,510,610.2166667,119.56%,425,455,93.43%
המלביש אילת,,,"16,039","16,039",,,,190.7833333,,84,,
המלביש חולון,,,"62,569","62,569",,,,425.8166667,,147,,
הקניון הגדול פתח תקווה,"380,000","367,740","408,854","28,854",107.59%,1.11180062,626,628.5,100.41%,651,588,110.72%
הרודס אילת,"180,000","174,180","272,483","92,483",151.38%,1.564378689,481,576.3166667,119.70%,473,362,130.70%
הרצל נתניה,"200,000","193,560","207,786","7,786",103.89%,1.073497417,385,382,99.17%,544,503,108.24%
וילג' חדרה,"170,000","164,520","199,957","29,957",117.62%,1.215393326,481,418.1166667,86.84%,478,342,139.96%
זכרון,"260,000","251,610","263,002","3,002",101.15%,1.045275347,530,560.1333333,105.76%,470,475,98.84%
חולון אאוטלט,"220,000","212,910","230,419","10,419",104.74%,1.082235452,559,608.2666667,108.91%,379,381,99.37%
