סניף,יעד עד סוף החודש,יעד מכירות עד היום חודשי,ביצוע מכירות חודשי כולל מעמ,מרחק מיעד מכירות חודשי,אחוז עמידה ביעד מכירות חודשי,אחוז עמידה ביעד מכירות עד היום,יעד שעות תקן עד היום חודשי,ביצוע שעות תקן חודש נוכחי,אחוז עמידה ביעד חודשי שעות תקן,פריון,יעד פריון,אחוז עמידה ביעד פריון
AKOH שבעת הכוכבים אילת,"150,000","150,000","60,495","-89,505",40.33%,0.403298933,500,219.1833333,43.84%,276,300,92.00%
G כפר סבא,"450,000","450,000","330,516","-119,484",73.45%,0.734479422,800,619.1333333,77.39%,534,563,94.90%
SCORC גלילות,"220,000","219,990","156,138","-63,862",70.97%,0.709750307,500,288.6666667,57.73%,541,440,122.94%
SCORC דיזנגוף סנטר,"200,000","173,342","104,970","-95,030",52.48%,0.605565299,450,259.6833333,57.71%,404,385,104.94%
SCORC שבעת הכוכבים אילת,"70,000","69,990","52,248","-17,752",74.64%,0.746501214,300,190.8666667,63.62%,274,233,117.33%
SEOHSEW גלילות,"490,000","489,990","402,769","-87,231",82.20%,0.821994265,850,769.0666667,90.48%,524,576,90.85%
SEOHSEW מבשרת ציון,"170,000","170,010","123,206","-46,794",72.47%,0.724695606,450,302.75,67.28%,407,378,107.72%
SGABEW ביג ירכא,"60,000","60,000","25,308","-34,692",42.18%,0.4217955,400,247.95,61.99%,102,150,68.05%
sgabeW חוצות,"140,000","140,010","102,697","-37,303",73.35%,0.73349425,400,229.3166667,57.33%,448,350,127.94%
SGABEW עפולה,"50,000","50,010","20,186","-29,814",40.37%,0.403631474,330,220.9666667,66.96%,91,152,60.28%
SGABEW שבעת הכוכבים אילת,"60,000","60,000","19,614","-40,386",32.69%,0.326900167,300,208.45,69.48%,94,200,47.05%
VLT,"140,000","121,342","103,441","-36,559",73.89%,0.852470867,450,280.0833333,62.24%,369,270,136.96%
אאוטלט הרצליה,"220,000","219,990","111,960","-108,040",50.89%,0.508933997,500,231.4666667,46.29%,484,440,109.94%
אור יהודה - עודפים,"120,000","138,450","78,499","-41,501",65.42%,0.566984543,400,251.3333333,62.83%,312,346,90.24%
איילון,"350,000","350,010","215,387","-134,613",61.54%,0.615372475,650,437.7,67.34%,492,538,91.38%
איכילוב מרכז ויצמן תל אביב,"280,000","279,994","204,460","-75,540",73.02%,0.730229183,520,434.9666667,83.65%,470,538,87.30%
אירפורט סיטי,"100,000","99,990","79,496","-20,504",79.50%,0.795038304,400,328,82.00%,242,250,96.96%
אמות באר שבע,"400,000","399,990","277,976","-122,024",69.49%,0.694956949,800,553.1166667,69.14%,503,500,100.52%
אשדוד - סטאר סנטר,"130,000","129,990","100,468","-29,532",77.28%,0.772892838,500,353.3833333,70.68%,284,260,109.36%
אשקלון סילבר,"280,000","279,990","259,911","-20,089",92.83%,0.928288225,650,422.2666667,64.96%,616,431,142.89%
באקה אלג'רביה כאסח,"300,000","300,000","229,030","-70,970",76.34%,0.763434367,750,538.0666667,71.74%,426,400,106.41%
באר יעקב,"120,000","120,000","74,158","-45,842",61.80%,0.617986333,450,271.9833333,60.44%,273,267,102.25%
בארות יצחק - כאסח,"250,000","249,990","227,355","-22,645",90.94%,0.909455378,650,632.2833333,97.27%,360,385,93.49%
בוטיק אילת,"160,000","159,990","109,483","-50,517",68.43%,0.684313957,350,195.65,55.90%,560,457,122.42%
ביאליק 3,"110,000","110,006","72,140","-37,860",65.58%,0.655782139,280,171.6333333,61.30%,420,393,106.98%
ביאליק רמת גן,"140,000","140,010","100,367","-39,633",71.69%,0.716853225,400,207.8333333,51.96%,483,350,137.97%
ביג אילת,"850,000","849,990","565,856","-284,144",66.57%,0.665721103,"1,400",1022.983333,73.07%,553,607,91.11%
ביג אשדוד,"450,000","450,000","362,513","-87,487",80.56%,0.805584356,750,494.35,65.91%,733,600,122.22%
ביג החורש,"120,000","120,000","85,413","-34,587",71.18%,0.711778083,450,257.05,57.12%,332,267,124.61%
ביג טבריה,"270,000","270,000","196,957","-73,043",72.95%,0.729472185,600,343.45,57.24%,573,450,127.44%
ביג יקנעם,"140,000","140,010","91,754","-48,246",65.54%,0.655342333,450,239.4833333,53.22%,383,311,123.14%
ביג ירכא אאוטלט,"460,000","459,990","329,277","-130,723",71.58%,0.715834692,800,575.6166667,71.95%,572,575,99.49%
ביג רגבה כאסח,"300,000","260,000","263,578","-36,422",87.86%,1.013759846,800,649.0166667,81.13%,406,325,124.96%
בית חנינה,"220,000","219,990","217,259","-2,741",98.75%,0.987584299,450,366.7666667,81.50%,592,489,121.17%
בית שמש,"180,000","180,000","138,520","-41,480",76.96%,0.769553667,500,350.4666667,70.09%,395,360,109.79%
גבעתיים,"150,000","150,000","111,284","-38,716",74.19%,0.741890667,450,240.75,53.50%,462,333,138.67%
"גרנד ב""ש","250,000","249,990","178,755","-71,245",71.50%,0.715048042,570,337.1833333,59.15%,530,439,120.88%
גרנד קניון חיפה,"400,000","399,990","321,885","-78,115",80.47%,0.804732868,700,513.6,73.37%,627,571,109.68%
