סניף,יעד עד סוף החודש,יעד מכירות עד היום חודשי,ביצוע מכירות חודשי כולל מעמ,מרחק מיעד מכירות חודשי,אחוז עמידה ביעד מכירות חודשי,אחוז עמידה ביעד מכירות עד היום,יעד שעות תקן עד היום חודשי,ביצוע שעות תקן חודש נוכחי,אחוז עמידה ביעד חודשי שעות תקן,פריון,יעד פריון,אחוז עמידה ביעד פריון
AKOH שבעת הכוכבים אילת,"200,000","200,012","139,986","-60,014",69.99%,0.699888907,400,424.9833333,106.25%,329,500,65.87%
G כפר סבא,"200,000","199,981","157,132","-42,868",78.57%,0.785734095,600,890.9,148.48%,176,333,52.92%
SCORC גלילות,"150,000","150,009","278,123","128,123",185.42%,1.854043024,400,467.7666667,116.94%,595,375,158.54%
SCORC דיזנגוף סנטר,"160,000","134,186","132,061","-27,939",82.54%,0.984164741,500,365.8333333,73.17%,361,268,134.51%
SCORC שבעת הכוכבים אילת,"70,000","69,998","56,650","-13,350",80.93%,0.809308409,350,331.25,94.64%,171,200,85.51%
SEOHSEW גלילות,"350,000","349,990","497,559","147,559",142.16%,1.421637304,800,1176.733333,147.09%,423,437,96.65%
SEOHSEW מבשרת ציון,"140,000","139,996","102,150","-37,850",72.96%,0.72966449,350,338.6833333,96.77%,302,400,75.40%
SGABEW ביג ירכא,"60,000","59,985","45,413","-14,587",75.69%,0.757075602,300,391.1,130.37%,116,200,58.07%
sgabeW חוצות,"140,000","139,996","150,371","10,371",107.41%,1.074107617,400,353.1333333,88.28%,426,350,121.67%
SGABEW עפולה,"80,000","80,011","31,592","-48,408",39.49%,0.394840834,350,380.6333333,108.75%,83,229,36.31%
SGABEW שבעת הכוכבים אילת,"70,000","69,998","35,329","-34,671",50.47%,0.504717849,350,330.75,94.50%,107,200,53.41%
VLT,"150,000","125,814","95,632","-54,368",63.75%,0.76010285,500,462.0666667,92.41%,207,252,82.25%
אאוטלט הרצליה,"190,000","189,999","142,949","-47,051",75.24%,0.75236596,450,386.1333333,85.81%,370,422,87.68%
אור יהודה - עודפים,"80,000","80,011","78,418","-1,582",98.02%,0.980085988,350,318.3166667,90.95%,246,229,107.76%
איילון,"260,000","259,997","196,458","-63,542",75.56%,0.755616334,650,526.9666667,81.07%,373,400,93.20%
איכילוב מרכז ויצמן תל אביב,"200,000","192,582","197,201","-2,799",98.60%,1.0239849,550,608.7333333,110.68%,324,350,92.52%
אירפורט סיטי,"110,000","120,001","87,963","-22,037",79.97%,0.733015392,400,358.9833333,89.75%,245,300,81.68%
אמות באר שבע,"420,000","419,988","439,377","19,377",104.61%,1.046166486,750,759.0666667,101.21%,579,560,103.37%
אסף הרופא,"50,000","48,152","28,033","-21,967",56.07%,0.582185371,320,198.6,62.06%,141,150,93.81%
אשדוד - סטאר סנטר,"100,000","100,006","90,665","-9,335",90.67%,0.906595704,550,479.1666667,87.12%,189,182,104.06%
אשקלון סילבר,"240,000","240,002","244,878","4,878",102.03%,1.020316164,650,588.05,90.47%,416,369,112.78%
באקה אלג'רביה כאסח,"250,000","250,015","243,450","-6,550",97.38%,0.973743495,600,671.9333333,111.99%,362,417,86.95%
באר יעקב,,,0,0,,,,71,,0,,
בארות יצחק - כאסח,"230,000","264,089","277,332","47,332",120.58%,1.050146731,550,554.15,100.75%,500,480,104.23%
בוטיק אילת,"140,000","139,996","124,123","-15,877",88.66%,0.886620118,400,286.0666667,71.52%,434,350,123.97%
ביאליק 3,"100,000","96,304","90,188","-9,812",90.19%,0.936492669,350,252.05,72.01%,358,275,130.04%
ביאליק רמת גן,"110,000","109,988","103,067","-6,933",93.70%,0.937072408,380,327.0166667,86.06%,315,289,108.89%
ביג אילת,"840,000","840,007","769,370","-70,630",91.59%,0.915908808,"1,400",1614.783333,115.34%,476,600,79.41%
ביג אשדוד,"330,000","329,995","360,418","30,418",109.22%,1.092191457,700,720.2166667,102.89%,500,471,106.15%
ביג החורש,"150,000","150,009","92,134","-57,866",61.42%,0.614190082,500,492.75,98.55%,187,300,62.32%
ביג טבריה,"190,000","189,999","215,362","25,362",113.35%,1.133491387,520,612.15,117.72%,352,365,96.29%
ביג יקנעם,"140,000","139,996","91,900","-48,100",65.64%,0.656444327,500,394.95,78.99%,233,280,83.10%
ביג ירכא אאוטלט,"400,000","399,993","434,723","34,723",108.68%,1.086827344,750,793.7833333,105.84%,548,533,102.69%
בית חנינה,"150,000","150,009","191,858","41,858",127.91%,1.278976728,400,311.3333333,77.83%,616,375,164.32%
בית שמש,"170,000","170,004","135,861","-34,139",79.92%,0.799166137,450,673.3666667,149.64%,202,378,53.41%
גבעתיים,"170,000","170,004","125,586","-44,414",73.87%,0.738725324,500,440.0833333,88.02%,285,340,83.93%
"גרנד ב""ש","170,000","170,004","195,908","25,908",115.24%,1.152374179,570,411.5,72.19%,476,298,159.62%
גרנד קניון חיפה,"280,000","279,992","319,477","39,477",114.10%,1.141021886,700,697.7166667,99.67%,458,400,114.48%
דודג' סנטר,"170,000","170,004","169,697",-303,99.82%,0.998191219,500,465.4,93.08%,365,340,107.24%
דיזנגוף סנטר,"240,000","240,002","201,324","-38,676",83.88%,0.838841843,550,485.75,88.32%,414,436,94.98%
דימונה,"120,000","120,001","69,240","-50,760",57.70%,0.576995442,500,391.5333333,78.31%,177,240,73.68%
דליית אל כרמל,"150,000","150,009","111,560","-38,440",74.37%,0.743690179,350,321.8,91.94%,347,429,80.89%
הדסה,"150,000","150,009","139,345","-10,655",92.90%,0.928911799,450,349.7333333,77.72%,398,333,119.52%
הדר ירושלים,"230,000","229,989","257,832","27,832",112.10%,1.121064181,550,655.65,119.21%,393,418,94.04%
הזהב,"170,000","170,004","160,728","-9,272",94.55%,0.945438284,500,491.7,98.34%,327,340,96.14%
המלביש אילת,,,"20,350","20,350",,,,200.3166667,,102,,
המלביש חולון,,,"43,818","43,818",,,,297.5166667,,147,,
הקניון הגדול פתח תקווה,"290,000","290,005","270,218","-19,782",93.18%,0.931768452,600,586.9833333,97.83%,460,483,95.24%
הרודס אילת,"320,000","320,013","252,404","-67,596",78.88%,0.788731333,650,592.4333333,91.14%,426,492,86.54%
הרצל נתניה,"170,000","170,004","157,793","-12,207",92.82%,0.928172278,400,346.5666667,86.64%,455,425,107.13%
וילג' חדרה,"170,000","170,004","98,459","-71,541",57.92%,0.579157255,520,440.05,84.63%,224,327,68.44%
זכרון,"210,000","209,994","214,337","4,337",102.07%,1.020679829,520,575.9833333,110.77%,372,404,92.15%
חולון אאוטלט,"220,000","220,007","202,202","-17,798",91.91%,0.919070166,570,608.55,106.76%,332,386,86.08%
חונים קונים כאסח,"220,000","184,496","196,405","-23,595",89.28%,1.064549367,600,710.2166667,118.37%,277,307,89.93%
חוצות המפרץ,"420,000","419,988","503,019","83,019",119.77%,1.197698149,750,878.6,117.15%,573,560,102.24%
טייבה,"130,000","130,014","138,859","8,859",106.81%,1.068030212,400,336.3666667,84.09%,413,325,127.01%
טמרה,"180,000","179,986","160,896","-19,104",89.39%,0.89393475,350,322.5166667,92.15%,499,514,97.01%
ים המלח,"160,000","159,991","145,390","-14,610",90.87%,0.908736429,550,385.8666667,70.16%,377,291,129.53%
יס פלאנט באר שבע,"60,000","59,985","56,207","-3,793",93.68%,0.937025756,400,310.2833333,77.57%,181,150,120.80%
ישפרו סנטר מודיעין,"290,000","290,005","280,202","-9,798",96.62%,0.966195755,600,346.0333333,57.67%,810,483,167.53%
כפר סבא הירוקה,"140,000","139,996","140,521",521,100.37%,1.003751321,500,456.4,91.28%,308,280,109.96%
כרכור,"380,000","379,998","391,135","11,135",102.93%,1.029308312,820,825.15,100.63%,474,463,102.29%
כרמי גת,"140,000","139,996","112,891","-27,109",80.64%,0.806384182,550,496.7333333,90.32%,227,255,89.29%
כרמיאל,"420,000","419,988","517,925","97,925",123.32%,1.233190234,600,585.2833333,97.55%,885,700,126.42%
מגדל,"100,000","100,006","49,288","-50,712",49.29%,0.492848129,200,9.716666667,4.86%,"5,072",500,1014.44%
מודיעין עזריאלי,"230,000","229,989","214,308","-15,692",93.18%,0.931820044,550,635.7666667,115.59%,337,418,80.61%
מול הים,"420,000","419,988","344,921","-75,079",82.12%,0.821264679,800,956.0666667,119.51%,361,525,68.72%
מיגייט גאולה,"120,000","120,001","105,834","-14,166",88.19%,0.88194015,400,331.4666667,82.87%,319,300,106.43%
מיי בייבי,"200,000","200,012","121,866","-78,134",60.93%,0.609293492,300,82.21666667,27.41%,"1,482",667,222.32%
מלחה - ירושלים,"260,000","259,997","279,993","19,993",107.69%,1.076909734,500,450.5666667,90.11%,621,520,119.51%
מלכת שבא,"700,000","700,011","661,453","-38,547",94.49%,0.944918323,"1,300",1330.4,102.34%,497,538,92.33%
ממילא,"260,000","259,997","276,283","16,283",106.26%,1.06264103,650,682.0166667,104.93%,405,400,101.28%
