סניף,יעד עד סוף החודש,יעד מכירות עד היום חודשי,ביצוע מכירות חודשי כולל מעמ,מרחק מיעד מכירות חודשי,אחוז עמידה ביעד מכירות חודשי,אחוז עמידה ביעד מכירות עד היום,יעד שעות תקן עד היום חודשי,ביצוע שעות תקן חודש נוכחי,אחוז עמידה ביעד חודשי שעות תקן,פריון,יעד פריון,אחוז עמידה ביעד פריון
AKOH שבעת הכוכבים אילת,"160,000","159,991","102,315","-57,685",63.95%,0.639505035,500,335.75,67.15%,305,320,95.24%
G כפר סבא,"430,000","430,001","415,101","-14,899",96.54%,0.965348499,750,964.6833333,128.62%,430,573,75.05%
SCORC גלילות,"250,000","250,015","234,205","-15,795",93.68%,0.936765354,600,508.6666667,84.78%,460,417,110.50%
SCORC דיזנגוף סנטר,"220,000","184,522","130,764","-89,236",59.44%,0.70866184,500,370.3833333,74.08%,353,369,95.67%
SCORC שבעת הכוכבים אילת,"90,000","89,993","69,202","-20,798",76.89%,0.768966809,400,316.2166667,79.05%,219,225,97.27%
SEOHSEW גלילות,"470,000","469,991","527,279","57,279",112.19%,1.121891079,900,1109.616667,123.29%,475,522,91.00%
SEOHSEW מבשרת ציון,"160,000","159,991","174,812","14,812",109.26%,1.092634523,450,466.95,103.77%,374,356,105.30%
SGABEW ביג ירכא,"50,000","59,985","49,396",-604,98.79%,0.823469701,420,377.3,89.83%,131,143,91.67%
sgabeW חוצות,"130,000","130,014","161,396","31,396",124.15%,1.241373621,400,360.0666667,90.02%,448,325,137.90%
SGABEW עפולה,"60,000","59,985","32,268","-27,732",53.78%,0.537934317,330,338.9,102.70%,95,182,52.38%
SGABEW שבעת הכוכבים אילת,"70,000","69,998","29,676","-40,324",42.39%,0.423955399,400,291.1166667,72.78%,102,175,58.25%
VLT,"150,000","125,814","113,559","-36,441",75.71%,0.902591206,500,482.3166667,96.46%,235,252,93.57%
אאוטלט הרצליה,"210,000","209,994","171,820","-38,180",81.82%,0.818215616,450,382.9833333,85.11%,449,467,96.14%
